Duracion de la Suscripcion (Meses),Satisfaccion del Cliente (1-10),Tiempo de Visualizacion Diario (Horas),Indice de Compromiso (1-10),Dispositivo mas Usado,Genero Preferido,Region,Historial de Pago (A Tiempo/Retrasado),Plan de Suscripcion,Estado de Cancelacion (Sí/No),Consultas al Soporte,Edad,Ingresos Mensuales ($),Numero de Perfiles Creados
54,4,5.05,6,Smart TV,Comedy,Africa,On-Time,Premium,No,10,33,9001,4
20,1,1.64,1,Mobile,Drama,North America,Delayed,Premium,Yes,7,56,7153,2
35,8,5.46,9,Mobile,Romance,Asia,On-Time,Basic,No,10,31,5795,5
28,2,1.46,2,Laptop,Drama,Africa,Delayed,Premium,No,10,23,8335,2
38,5,1.04,5,Tablet,Drama,Africa,On-Time,Standard,No,8,55,7487,3
19,7,3.26,7,Smart TV,Drama,Oceania,On-Time,Basic,No,3,35,1663,1
20,10,1.46,7,Tablet,Action,Europe,Delayed,Standard,Yes,2,58,7417,5
51,10,4.78,8,Laptop,Drama,Europe,On-Time,Basic,No,10,56,3545,3
24,9,3.5,9,Laptop,Action,South America,Delayed,Basic,Yes,8,35,7950,2
16,8,5.12,7,Smart TV,Sci-fi,South America,Delayed,Standard,Yes,6,37,1938,4
30,1,4.24,1,Mobile,Comedy,South America,On-Time,Standard,No,7,59,7837,4
19,9,5.75,10,Laptop,Sci-fi,South America,On-Time,Basic,No,7,66,9507,5
28,1,1.36,2,Smart TV,Drama,Africa,Delayed,Basic,No,10,55,8834,4
55,8,5.49,9,Smart TV,Comedy,Europe,On-Time,Standard,No,6,36,2599,2
7,10,2.33,10,Smart TV,Action,South America,On-Time,Premium,No,2,27,9947,5
27,7,3.44,8,Mobile,Action,Oceania,On-Time,Basic,No,7,48,5956,2
43,10,2.94,9,Smart TV,Comedy,Oceania,Delayed,Basic,No,3,55,5743,5
32,5,2.52,3,Laptop,Romance,North America,On-Time,Premium,No,2,52,2560,2
16,10,3.13,8,Laptop,Sci-fi,Europe,Delayed,Basic,Yes,10,29,4391,1
7,3,3.24,3,Laptop,Sci-fi,North America,On-Time,Basic,Yes,0,51,6532,1
22,6,5.36,2,Tablet,Sci-fi,Europe,On-Time,Premium,No,7,20,6855,4
4,7,5.08,8,Smart TV,Action,North America,On-Time,Basic,No,0,54,1280,5
15,9,3.45,10,Smart TV,Action,Oceania,On-Time,Premium,No,6,19,6762,1
11,7,4.07,7,Tablet,Sci-fi,Africa,On-Time,Basic,No,6,33,7282,5
5,9,4.0,9,Mobile,Romance,North America,On-Time,Basic,No,4,59,3180,5
22,9,2.29,8,Tablet,Romance,North America,On-Time,Standard,No,10,35,1564,5
52,9,2.26,8,Tablet,Sci-fi,Europe,On-Time,Basic,No,4,39,3129,1
56,9,2.45,7,Laptop,Comedy,South America,Delayed,Standard,No,10,54,5946,1
52,8,4.27,10,Laptop,Action,Asia,On-Time,Basic,No,4,50,1241,2
40,9,2.59,7,Smart TV,Comedy,North America,On-Time,Basic,No,10,30,9392,5
24,2,3.5,3,Laptop,Romance,North America,Delayed,Standard,Yes,9,37,5561,1
27,2,4.32,6,Tablet,Comedy,Africa,On-Time,Standard,No,4,66,8360,1
47,10,1.27,10,Tablet,Drama,Asia,On-Time,Standard,No,5,31,7637,5
50,9,3.95,7,Tablet,Comedy,Asia,On-Time,Basic,No,4,32,1326,2
41,7,4.44,7,Mobile,Comedy,North America,On-Time,Premium,No,0,70,4827,1
37,7,3.16,10,Laptop,Comedy,South America,On-Time,Basic,No,1,42,9014,1
34,8,5.47,10,Tablet,Romance,Europe,On-Time,Standard,No,2,30,2755,1
41,7,2.58,7,Mobile,Drama,Europe,On-Time,Standard,No,5,42,6129,5
18,9,5.05,10,Laptop,Comedy,Asia,Delayed,Basic,Yes,0,22,8686,4
25,9,5.43,8,Smart TV,Action,North America,On-Time,Standard,No,4,63,6255,3
10,7,2.59,8,Laptop,Romance,Europe,On-Time,Premium,No,10,50,9740,1
4,8,3.52,7,Mobile,Romance,South America,Delayed,Basic,Yes,7,61,1600,4
13,7,2.18,7,Mobile,Comedy,Africa,On-Time,Basic,No,8,22,2432,2
54,5,3.45,3,Tablet,Action,Oceania,Delayed,Premium,No,10,29,3104,5
19,3,2.74,1,Tablet,Romance,North America,On-Time,Basic,No,10,65,8415,5
14,8,2.08,8,Laptop,Sci-fi,Asia,Delayed,Basic,Yes,4,32,6971,5
59,9,3.95,10,Smart TV,Sci-fi,Asia,Delayed,Standard,No,7,18,5541,2
24,3,5.92,2,Mobile,Comedy,Asia,On-Time,Basic,No,6,47,5557,2
42,9,3.03,8,Smart TV,Drama,South America,Delayed,Basic,No,2,64,1878,5
40,7,4.57,8,Smart TV,Comedy,Asia,Delayed,Basic,No,1,31,3062,3
29,10,2.25,9,Smart TV,Action,Oceania,Delayed,Standard,No,1,67,7824,4
25,10,5.75,7,Tablet,Action,South America,On-Time,Basic,No,3,52,2517,2
27,3,4.7,1,Tablet,Drama,North America,On-Time,Standard,No,0,68,7564,3
50,10,5.57,10,Smart TV,Romance,Asia,On-Time,Standard,No,6,51,9678,3
58,10,2.04,8,Mobile,Sci-fi,Europe,On-Time,Basic,No,6,57,1159,4
8,9,5.5,10,Tablet,Comedy,South America,On-Time,Basic,No,5,62,1432,3
39,10,2.72,7,Mobile,Drama,Asia,Delayed,Basic,No,10,30,7940,4
37,7,3.41,10,Smart TV,Sci-fi,Oceania,On-Time,Basic,No,1,67,7244,2
24,7,3.2,8,Smart TV,Romance,Oceania,On-Time,Standard,No,6,40,2107,3
24,6,3.07,3,Tablet,Romance,South America,On-Time,Standard,Yes,3,18,1373,3
14,9,2.67,8,Smart TV,Sci-fi,Asia,On-Time,Basic,No,0,21,2945,2
11,8,4.24,8,Smart TV,Romance,Asia,Delayed,Premium,Yes,7,42,6986,3
35,2,3.9,3,Mobile,Sci-fi,Africa,Delayed,Basic,No,10,65,3297,3
53,9,3.69,9,Tablet,Comedy,North America,On-Time,Standard,No,4,40,1166,1
28,8,3.5,9,Mobile,Action,Europe,Delayed,Basic,No,8,61,5993,5
17,8,1.48,8,Smart TV,Comedy,Europe,On-Time,Premium,No,10,45,4043,5
6,9,4.53,9,Laptop,Comedy,Oceania,On-Time,Basic,No,7,24,4467,1
5,7,1.89,8,Tablet,Action,Oceania,On-Time,Basic,No,7,69,8186,5
44,1,1.68,4,Smart TV,Drama,Oceania,On-Time,Premium,No,7,27,7197,1
59,4,5.4,1,Smart TV,Drama,North America,Delayed,Basic,No,1,50,7098,1
33,10,3.33,9,Tablet,Sci-fi,North America,Delayed,Standard,No,1,32,1644,1
51,8,1.88,10,Tablet,Sci-fi,Europe,On-Time,Standard,No,9,65,8493,4
20,7,2.19,8,Laptop,Comedy,North America,Delayed,Basic,Yes,5,31,2980,5
18,8,5.01,9,Mobile,Comedy,Oceania,On-Time,Basic,No,0,41,6869,3
25,7,1.47,10,Tablet,Drama,Africa,On-Time,Standard,No,0,66,6825,3
46,8,1.91,10,Mobile,Romance,Africa,On-Time,Premium,No,0,34,7575,5
40,8,1.77,8,Laptop,Romance,Asia,On-Time,Premium,No,9,55,5511,2
9,8,2.08,9,Smart TV,Drama,Asia,On-Time,Standard,No,5,66,5640,5
39,9,1.28,10,Tablet,Action,North America,On-Time,Basic,No,9,63,8292,1
54,9,5.84,8,Mobile,Romance,South America,On-Time,Basic,No,6,66,7727,2
39,1,2.7,1,Laptop,Comedy,South America,Delayed,Basic,No,9,64,2819,3
23,10,4.24,10,Smart TV,Drama,North America,On-Time,Basic,No,6,25,8431,4
54,7,4.23,10,Laptop,Sci-fi,South America,On-Time,Basic,No,1,30,9158,5
41,8,5.35,9,Tablet,Drama,Oceania,On-Time,Basic,No,10,27,9312,3
30,7,3.49,10,Laptop,Sci-fi,Oceania,On-Time,Basic,No,2,65,7013,4
49,7,3.72,7,Laptop,Action,Africa,On-Time,Basic,No,2,24,1631,3
15,7,2.34,7,Tablet,Action,Africa,On-Time,Premium,No,1,69,4365,2
23,2,2.56,3,Tablet,Action,South America,On-Time,Basic,No,4,65,9157,5
23,8,4.57,9,Mobile,Drama,Asia,On-Time,Basic,No,0,21,9811,4
41,1,5.44,3,Laptop,Sci-fi,Africa,On-Time,Premium,No,8,49,7972,2
14,7,3.04,10,Laptop,Sci-fi,Africa,On-Time,Standard,No,10,53,3800,4
40,8,3.21,7,Laptop,Drama,Asia,Delayed,Basic,No,6,47,8776,1
36,6,4.08,5,Tablet,Comedy,Asia,Delayed,Basic,No,1,24,1661,4
60,9,2.26,10,Tablet,Drama,Africa,On-Time,Premium,No,5,43,3836,1
42,8,3.78,9,Mobile,Action,Oceania,Delayed,Standard,No,2,45,8684,2
54,8,2.02,8,Laptop,Action,South America,On-Time,Basic,No,0,60,8702,2
54,8,2.62,8,Laptop,Romance,Oceania,Delayed,Basic,No,8,52,1704,5
10,4,2.12,6,Smart TV,Sci-fi,South America,On-Time,Standard,No,10,20,9016,2
29,7,3.01,10,Tablet,Action,Africa,On-Time,Standard,No,5,62,6164,2
16,2,1.94,3,Laptop,Sci-fi,Africa,On-Time,Premium,No,1,50,1336,4
55,7,2.62,7,Mobile,Sci-fi,North America,Delayed,Basic,No,0,26,2086,5
41,10,5.33,8,Tablet,Drama,Asia,On-Time,Basic,No,5,25,6822,4
17,8,2.83,10,Tablet,Sci-fi,South America,On-Time,Basic,No,4,35,8584,5
46,1,2.27,2,Tablet,Romance,Europe,On-Time,Basic,No,9,35,7617,4
58,3,1.88,1,Smart TV,Drama,Europe,On-Time,Premium,No,6,21,7050,5
1,7,3.43,10,Mobile,Romance,South America,On-Time,Basic,No,6,69,4692,2
28,7,2.49,10,Smart TV,Action,Africa,On-Time,Standard,No,3,27,7115,2
10,4,1.17,1,Laptop,Comedy,Oceania,Delayed,Basic,Yes,10,51,5273,5
43,3,1.36,4,Mobile,Sci-fi,Asia,On-Time,Premium,No,5,57,8021,1
16,7,3.1,7,Laptop,Comedy,Asia,Delayed,Standard,Yes,6,43,6532,5
36,5,3.43,3,Smart TV,Sci-fi,North America,On-Time,Basic,No,5,48,7073,3
52,8,4.94,10,Smart TV,Romance,North America,On-Time,Basic,No,3,48,5882,2
33,7,5.35,9,Smart TV,Drama,North America,On-Time,Basic,No,6,27,3016,5
58,9,4.22,8,Tablet,Sci-fi,Europe,Delayed,Standard,No,3,28,6460,4
51,8,4.98,10,Tablet,Romance,South America,On-Time,Premium,No,5,52,2540,4
18,8,3.33,8,Mobile,Drama,Europe,Delayed,Premium,Yes,4,22,5811,1
15,8,4.76,10,Laptop,Action,North America,Delayed,Premium,Yes,5,50,3182,3
22,10,4.9,9,Mobile,Drama,Asia,On-Time,Standard,No,2,64,6549,5
41,9,2.93,9,Mobile,Action,South America,On-Time,Basic,No,1,37,6330,5
50,6,1.76,6,Smart TV,Sci-fi,Asia,On-Time,Standard,No,2,67,4342,4
51,4,1.69,6,Smart TV,Drama,Europe,Delayed,Premium,No,9,42,6490,5
26,4,1.6,1,Tablet,Sci-fi,South America,On-Time,Standard,No,10,44,5244,4
33,1,5.68,3,Mobile,Romance,Africa,On-Time,Basic,No,1,52,3222,4
54,9,5.8,10,Laptop,Sci-fi,Oceania,On-Time,Basic,No,7,47,3257,4
32,1,5.82,1,Mobile,Romance,North America,On-Time,Standard,No,0,64,2271,2
4,8,3.41,7,Laptop,Comedy,South America,On-Time,Basic,No,8,30,5660,3
41,8,5.11,8,Tablet,Romance,South America,On-Time,Basic,No,4,50,2012,3
40,9,3.83,8,Tablet,Action,Europe,Delayed,Standard,No,10,19,2892,1
48,10,2.36,9,Laptop,Drama,Oceania,Delayed,Standard,No,6,61,4156,1
20,7,1.31,9,Mobile,Comedy,Africa,On-Time,Basic,No,6,57,4352,5
17,8,2.98,8,Tablet,Drama,South America,On-Time,Basic,No,3,19,6004,4
48,7,5.72,7,Mobile,Romance,Oceania,Delayed,Standard,No,3,61,3567,2
41,4,2.86,6,Tablet,Sci-fi,North America,On-Time,Basic,No,4,68,5937,1
11,7,2.22,10,Tablet,Comedy,Asia,Delayed,Premium,Yes,4,57,8524,5
45,4,2.28,4,Tablet,Drama,Europe,Delayed,Premium,No,2,38,1607,3
56,9,1.77,8,Mobile,Comedy,South America,On-Time,Basic,No,8,51,1145,5
2,10,5.06,8,Laptop,Sci-fi,North America,On-Time,Premium,No,5,44,8731,3
7,1,2.53,1,Laptop,Comedy,Oceania,Delayed,Basic,Yes,3,25,5576,4
40,7,3.59,7,Tablet,Comedy,Europe,On-Time,Basic,No,4,20,1298,2
58,7,5.12,7,Mobile,Romance,South America,On-Time,Standard,No,4,69,9580,4
11,3,4.63,3,Laptop,Sci-fi,Oceania,On-Time,Premium,No,5,44,5036,5
51,2,5.43,4,Laptop,Sci-fi,Africa,On-Time,Standard,No,8,58,5796,5
54,5,3.35,6,Smart TV,Romance,South America,On-Time,Standard,No,7,54,6991,1
31,8,5.84,7,Laptop,Action,South America,Delayed,Premium,No,0,39,6622,3
12,2,3.81,1,Mobile,Sci-fi,South America,On-Time,Standard,Yes,2,59,3382,3
22,8,1.87,8,Tablet,Sci-fi,Africa,Delayed,Standard,Yes,1,50,7535,3
28,4,2.64,6,Smart TV,Drama,Asia,On-Time,Premium,No,4,43,7316,1
55,7,1.44,9,Laptop,Sci-fi,Oceania,On-Time,Standard,No,9,41,2951,1
42,10,2.1,9,Laptop,Drama,Africa,On-Time,Standard,No,5,32,6861,3
54,8,2.45,9,Smart TV,Sci-fi,Africa,On-Time,Basic,No,0,32,3263,2
28,7,1.92,8,Laptop,Romance,Africa,Delayed,Basic,No,3,31,2101,4
21,10,5.92,7,Tablet,Romance,South America,On-Time,Premium,No,1,44,7162,3
43,10,2.95,8,Tablet,Romance,North America,Delayed,Premium,No,10,23,8948,3
20,6,4.52,1,Tablet,Sci-fi,North America,Delayed,Premium,Yes,10,57,8647,2
36,10,4.05,8,Smart TV,Comedy,South America,On-Time,Basic,No,2,52,6447,3
4,7,1.21,7,Mobile,Comedy,Africa,Delayed,Basic,Yes,9,37,5770,3
52,10,2.89,9,Smart TV,Action,South America,On-Time,Standard,No,7,69,4754,4
10,7,5.51,9,Smart TV,Romance,Oceania,On-Time,Basic,No,5,52,4299,5
12,7,5.36,10,Mobile,Romance,South America,On-Time,Premium,No,0,56,4750,2
27,7,2.71,9,Mobile,Drama,Asia,On-Time,Basic,No,1,54,2200,3
25,8,2.16,9,Mobile,Romance,Oceania,On-Time,Basic,No,3,38,6991,1
35,9,4.15,10,Laptop,Action,Europe,On-Time,Basic,No,1,41,3163,3
47,1,1.47,2,Tablet,Romance,Africa,On-Time,Basic,No,4,51,2953,3
44,4,3.68,1,Smart TV,Romance,North America,On-Time,Basic,No,3,65,4472,3
52,8,3.64,7,Mobile,Sci-fi,North America,On-Time,Premium,No,2,50,6314,5
41,9,1.41,7,Tablet,Drama,Oceania,Delayed,Premium,No,5,39,2996,5
2,9,2.32,7,Smart TV,Romance,North America,Delayed,Basic,Yes,10,55,6632,1
60,6,5.84,2,Tablet,Drama,Asia,On-Time,Standard,No,4,68,4734,3
53,8,1.23,10,Smart TV,Sci-fi,South America,On-Time,Premium,No,3,62,8234,2
39,8,1.82,8,Smart TV,Comedy,Africa,On-Time,Basic,No,7,46,2554,3
44,6,1.8,2,Smart TV,Sci-fi,South America,Delayed,Standard,No,5,41,2131,2
1,6,5.46,2,Tablet,Sci-fi,Europe,On-Time,Standard,No,3,19,7854,1
53,7,3.75,9,Mobile,Comedy,South America,Delayed,Basic,No,4,27,8115,5
12,10,5.42,8,Laptop,Romance,Asia,On-Time,Basic,No,8,64,1529,4
58,8,1.69,8,Smart TV,Drama,North America,On-Time,Basic,No,5,46,3971,1
26,8,4.7,7,Mobile,Comedy,Asia,On-Time,Premium,No,1,62,2593,1
21,9,1.67,7,Tablet,Drama,North America,On-Time,Standard,No,0,66,4716,5
56,2,1.05,1,Smart TV,Drama,South America,On-Time,Standard,No,5,55,2818,5
38,4,1.4,5,Smart TV,Sci-fi,South America,On-Time,Standard,No,9,59,9847,5
2,8,4.99,8,Laptop,Sci-fi,Asia,On-Time,Standard,No,4,37,7022,1
56,8,3.33,7,Smart TV,Sci-fi,South America,On-Time,Premium,No,1,30,5154,5
33,5,4.54,1,Laptop,Comedy,North America,Delayed,Basic,No,1,41,4151,5
48,7,5.18,10,Mobile,Comedy,North America,On-Time,Basic,No,0,25,9154,5
7,8,1.13,7,Mobile,Drama,South America,Delayed,Standard,Yes,10,51,6568,2
19,10,2.84,7,Laptop,Action,Oceania,On-Time,Basic,No,6,21,4052,2
16,10,2.6,10,Smart TV,Romance,Europe,On-Time,Basic,No,4,35,9794,1
44,4,5.89,1,Laptop,Romance,Oceania,On-Time,Basic,No,2,70,2488,5
35,8,2.47,7,Tablet,Action,South America,On-Time,Basic,No,8,19,3283,3
29,7,3.55,9,Mobile,Comedy,Asia,On-Time,Standard,No,7,57,4627,4
32,9,5.11,10,Laptop,Drama,Africa,On-Time,Basic,No,0,69,4446,3
60,8,2.55,9,Laptop,Drama,Africa,Delayed,Standard,No,2,48,8476,3
10,7,1.28,7,Laptop,Drama,South America,On-Time,Basic,No,10,58,8308,4
39,2,2.48,2,Tablet,Drama,Africa,On-Time,Standard,No,5,21,1346,1
57,9,5.78,9,Laptop,Romance,South America,On-Time,Basic,No,2,57,9863,3
36,7,5.86,7,Mobile,Sci-fi,Africa,On-Time,Standard,No,9,30,1108,5
59,7,5.41,8,Smart TV,Sci-fi,South America,On-Time,Basic,No,4,52,2898,3
