Año de Trabajo,Nivel de Experiencia,Tipo de Empleo,Título del Puesto,Salario,Moneda del Salario,Salario en USD,Residencia del Empleado,Proporcion de Trabajo en Remoto,Ubicacion de la Empresa,Tamaño de la Empresa,ID
2020,Director,Full-time,Director of Data Science,325000,USD,325000,Estados Unidos,Fully remote,Estados Unidos,Large,26
2020,Junior,Full-time,Research Scientist,42000,USD,42000,Paises Bajos,Partially remote,Paises Bajos,Large,27
2020,Senior,Full-time,Data Engineer,720000,MXN,33511,Mexico,No remote work,Mexico,Small,28
2020,Junior,Contract,Business Data Analyst,100000,USD,100000,Estados Unidos,Fully remote,Estados Unidos,Large,29
2020,Senior,Full-time,Machine Learning Manager,157000,CAD,117104,Canada,Partially remote,Canada,Large,30
2020,Intermediate,Full-time,Data Engineering Manager,51999,EUR,59303,Alemania,Fully remote,Alemania,Small,31
2020,Junior,Full-time,Big Data Engineer,70000,USD,70000,Estados Unidos,Fully remote,Estados Unidos,Large,32
2020,Senior,Full-time,Data Scientist,60000,EUR,68428,Grecia,Fully remote,Estados Unidos,Large,33
2020,Intermediate,Full-time,Research Scientist,450000,USD,450000,Estados Unidos,No remote work,Estados Unidos,Medium,34
2020,Intermediate,Full-time,Data Analyst,41000,EUR,46759,Francia,Partially remote,Francia,Large,35
2020,Intermediate,Full-time,Data Engineer,65000,EUR,74130,Austria,Partially remote,Austria,Large,36
2020,Intermediate,Full-time,Data Science Consultant,103000,USD,103000,Estados Unidos,Fully remote,Estados Unidos,Large,37
2020,Junior,Full-time,Machine Learning Engineer,250000,USD,250000,Estados Unidos,Partially remote,Estados Unidos,Large,38
2020,Junior,Full-time,Data Analyst,10000,USD,10000,Nigeria,Fully remote,Nigeria,Small,39
2020,Junior,Full-time,Machine Learning Engineer,138000,USD,138000,Estados Unidos,Fully remote,Estados Unidos,Small,40
2020,Intermediate,Full-time,Data Scientist,45760,USD,45760,Filipinas,Fully remote,Estados Unidos,Small,41
2020,Director,Full-time,Data Engineering Manager,70000,EUR,79833,España,Partially remote,España,Large,42
2020,Intermediate,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,No remote work,Portugal,Medium,43
2020,Intermediate,Full-time,Data Engineer,106000,USD,106000,Estados Unidos,Fully remote,Estados Unidos,Large,44
2020,Intermediate,Full-time,Data Engineer,88000,GBP,112872,Reino Unido,Partially remote,Reino Unido,Large,45
2020,Junior,Part-time,ML Engineer,14000,EUR,15966,Alemania,Fully remote,Alemania,Small,46
2020,Intermediate,Full-time,Data Scientist,60000,GBP,76958,Reino Unido,Fully remote,Reino Unido,Small,47
2020,Senior,Full-time,Data Engineer,188000,USD,188000,Estados Unidos,Fully remote,Estados Unidos,Large,48
2020,Intermediate,Full-time,Data Scientist,105000,USD,105000,Estados Unidos,Fully remote,Estados Unidos,Large,49
2020,Intermediate,Full-time,Data Engineer,61500,EUR,70139,Francia,Partially remote,Francia,Large,50
2020,Junior,Full-time,Data Analyst,450000,INR,6072,India,No remote work,India,Small,51
2020,Junior,Full-time,Data Analyst,91000,USD,91000,Estados Unidos,Fully remote,Estados Unidos,Large,52
2020,Junior,Full-time,AI Scientist,300000,DKK,45896,Dinamarca,Partially remote,Dinamarca,Small,53
2020,Junior,Full-time,Data Engineer,48000,EUR,54742,Pakistan,Fully remote,Alemania,Large,54
2020,Senior,Freelance,Computer Vision Engineer,60000,USD,60000,Rusia,Fully remote,Estados Unidos,Small,55
2020,Senior,Full-time,Principal Data Scientist,130000,EUR,148261,Alemania,Fully remote,Alemania,Medium,56
2020,Intermediate,Full-time,Data Scientist,34000,EUR,38776,España,Fully remote,España,Medium,57
2020,Intermediate,Full-time,Data Scientist,118000,USD,118000,Estados Unidos,Fully remote,Estados Unidos,Medium,58
2020,Senior,Full-time,Data Scientist,120000,USD,120000,Estados Unidos,Partially remote,Estados Unidos,Large,59
2020,Intermediate,Full-time,Data Scientist,138350,USD,138350,Estados Unidos,Fully remote,Estados Unidos,Medium,60
2020,Intermediate,Full-time,Data Engineer,110000,USD,110000,Estados Unidos,Fully remote,Estados Unidos,Large,61
2020,Intermediate,Full-time,Data Engineer,130800,USD,130800,España,Fully remote,Estados Unidos,Medium,62
2020,Junior,Part-time,Data Scientist,19000,EUR,21669,Italia,Partially remote,Italia,Small,63
2020,Senior,Full-time,Data Scientist,412000,USD,412000,Estados Unidos,Fully remote,Estados Unidos,Large,64
2020,Senior,Full-time,Machine Learning Engineer,40000,EUR,45618,Croacia,Fully remote,Croacia,Small,65
2020,Junior,Full-time,Data Scientist,55000,EUR,62726,Alemania,Partially remote,Alemania,Small,66
2020,Junior,Full-time,Data Scientist,43200,EUR,49268,Alemania,No remote work,Alemania,Small,67
2020,Senior,Full-time,Data Science Manager,190200,USD,190200,Estados Unidos,Fully remote,Estados Unidos,Medium,68
2020,Junior,Full-time,Data Scientist,105000,USD,105000,Estados Unidos,Fully remote,Estados Unidos,Small,69
2020,Senior,Full-time,Data Scientist,80000,EUR,91237,Austria,No remote work,Austria,Small,70
2020,Intermediate,Full-time,Data Scientist,55000,EUR,62726,Francia,Partially remote,Luxemburgo,Small,71
2020,Intermediate,Full-time,Data Scientist,37000,EUR,42197,Francia,Partially remote,Francia,Small,72
2021,Junior,Full-time,Research Scientist,60000,GBP,82528,Reino Unido,Partially remote,Reino Unido,Large,73
2021,Director,Full-time,BI Data Analyst,150000,USD,150000,India,Fully remote,Estados Unidos,Large,74
2021,Director,Full-time,Head of Data,235000,USD,235000,Estados Unidos,Fully remote,Estados Unidos,Large,75
2021,Senior,Full-time,Data Scientist,45000,EUR,53192,Francia,Partially remote,Francia,Large,76
2021,Intermediate,Full-time,BI Data Analyst,100000,USD,100000,Estados Unidos,Fully remote,Estados Unidos,Medium,77
2021,Intermediate,Part-time,3D Computer Vision Researcher,400000,INR,5409,India,Partially remote,India,Medium,78
2021,Intermediate,Contract,ML Engineer,270000,USD,270000,Estados Unidos,Fully remote,Estados Unidos,Large,79
2021,Junior,Full-time,Data Analyst,80000,USD,80000,Estados Unidos,Fully remote,Estados Unidos,Medium,80
2021,Senior,Full-time,Data Analytics Engineer,67000,EUR,79197,Alemania,Fully remote,Alemania,Large,81
2021,Intermediate,Full-time,Data Engineer,140000,USD,140000,Estados Unidos,Fully remote,Estados Unidos,Large,82
2021,Intermediate,Full-time,Applied Data Scientist,68000,CAD,54238,Reino Unido,Partially remote,Canada,Large,83
2021,Intermediate,Full-time,Machine Learning Engineer,40000,EUR,47282,España,Fully remote,España,Small,84
2021,Director,Full-time,Director of Data Science,130000,EUR,153667,Italia,Fully remote,Polonia,Large,85
2021,Intermediate,Full-time,Data Engineer,110000,PLN,28476,Polonia,Fully remote,Polonia,Large,86
2021,Junior,Full-time,Data Analyst,50000,EUR,59102,Francia,Partially remote,Francia,Medium,87
2021,Intermediate,Full-time,Data Analytics Engineer,110000,USD,110000,Estados Unidos,Fully remote,Estados Unidos,Large,88
2021,Senior,Full-time,Lead Data Analyst,170000,USD,170000,Estados Unidos,Fully remote,Estados Unidos,Large,89
2021,Senior,Full-time,Data Analyst,80000,USD,80000,Bulgaria,Fully remote,Estados Unidos,Small,90
2021,Senior,Full-time,Marketing Data Analyst,75000,EUR,88654,Grecia,Fully remote,Dinamarca,Large,91
2021,Junior,Full-time,Data Science Consultant,65000,EUR,76833,Alemania,Fully remote,Alemania,Small,92
2021,Intermediate,Full-time,Lead Data Analyst,1450000,INR,19609,India,Fully remote,India,Large,93
2021,Senior,Full-time,Lead Data Engineer,276000,USD,276000,Estados Unidos,No remote work,Estados Unidos,Large,94
2021,Junior,Full-time,Data Scientist,2200000,INR,29751,India,Partially remote,India,Large,95
2021,Intermediate,Full-time,Cloud Data Engineer,120000,SGD,89294,Singapur,Partially remote,Singapur,Large,96
2021,Junior,Part-time,AI Scientist,12000,USD,12000,Brasil,Fully remote,Estados Unidos,Small,97
2021,Intermediate,Full-time,Financial Data Analyst,450000,USD,450000,Estados Unidos,Fully remote,Estados Unidos,Large,98
2021,Junior,Full-time,Computer Vision Software Engineer,70000,USD,70000,Estados Unidos,Fully remote,Estados Unidos,Medium,99
2021,Intermediate,Full-time,Computer Vision Software Engineer,81000,EUR,95746,Alemania,Fully remote,Estados Unidos,Small,100
2021,Intermediate,Full-time,Data Analyst,75000,USD,75000,Estados Unidos,No remote work,Estados Unidos,Large,101
2021,Senior,Full-time,Data Engineer,150000,USD,150000,Estados Unidos,Fully remote,Estados Unidos,Large,102
2021,Intermediate,Full-time,BI Data Analyst,11000000,HUF,36259,Hungria,Partially remote,Estados Unidos,Large,103
2021,Intermediate,Full-time,Data Analyst,62000,USD,62000,Estados Unidos,No remote work,Estados Unidos,Large,104
2021,Intermediate,Full-time,Data Scientist,73000,USD,73000,Estados Unidos,No remote work,Estados Unidos,Large,105
2021,Intermediate,Full-time,Data Analyst,37456,GBP,51519,Reino Unido,Partially remote,Reino Unido,Large,106
2021,Intermediate,Full-time,Research Scientist,235000,CAD,187442,Canada,Fully remote,Canada,Large,107
2021,Senior,Full-time,Data Engineer,115000,USD,115000,Estados Unidos,Fully remote,Estados Unidos,Small,108
2021,Senior,Full-time,Data Engineer,150000,USD,150000,Estados Unidos,Fully remote,Estados Unidos,Medium,109
2021,Junior,Full-time,Data Engineer,2250000,INR,30428,India,Fully remote,India,Large,110
2021,Senior,Full-time,Machine Learning Engineer,80000,EUR,94564,Alemania,Partially remote,Alemania,Large,111
2021,Senior,Full-time,Director of Data Engineering,82500,GBP,113476,Reino Unido,Fully remote,Reino Unido,Medium,112
2021,Senior,Full-time,Lead Data Engineer,75000,GBP,103160,Reino Unido,Fully remote,Reino Unido,Small,113
2021,Junior,Part-time,AI Scientist,12000,USD,12000,Pakistan,Fully remote,Estados Unidos,Medium,114
2021,Intermediate,Full-time,Data Engineer,38400,EUR,45391,Paises Bajos,Fully remote,Paises Bajos,Large,115
2021,Junior,Full-time,Machine Learning Scientist,225000,USD,225000,Estados Unidos,Fully remote,Estados Unidos,Large,116
2021,Intermediate,Full-time,Data Scientist,50000,USD,50000,Nigeria,Fully remote,Nigeria,Large,117
2021,Intermediate,Full-time,Data Science Engineer,34000,EUR,40189,Grecia,Fully remote,Grecia,Medium,118
2021,Junior,Full-time,Data Analyst,90000,USD,90000,Estados Unidos,Fully remote,Estados Unidos,Small,119
2021,Intermediate,Full-time,Data Engineer,200000,USD,200000,Estados Unidos,Fully remote,Estados Unidos,Large,120
2021,Intermediate,Full-time,Big Data Engineer,60000,USD,60000,España,Partially remote,Rumania,Medium,121
2021,Senior,Full-time,Principal Data Engineer,200000,USD,200000,Estados Unidos,Fully remote,Estados Unidos,Medium,122
2021,Junior,Full-time,Data Analyst,50000,USD,50000,Estados Unidos,Fully remote,Estados Unidos,Medium,123
2021,Junior,Full-time,Applied Data Scientist,80000,GBP,110037,Reino Unido,No remote work,Reino Unido,Large,124
2021,Junior,Part-time,Data Analyst,8760,EUR,10354,España,Partially remote,España,Medium,125
2021,Intermediate,Full-time,Principal Data Scientist,151000,USD,151000,Estados Unidos,Fully remote,Estados Unidos,Large,126
2021,Senior,Full-time,Machine Learning Scientist,120000,USD,120000,Estados Unidos,Partially remote,Estados Unidos,Small,127
2021,Intermediate,Full-time,Data Scientist,700000,INR,9466,India,No remote work,India,Small,128
2021,Junior,Full-time,Machine Learning Engineer,20000,USD,20000,India,Fully remote,India,Small,129
2021,Senior,Full-time,Lead Data Scientist,3000000,INR,40570,India,Partially remote,India,Large,130
2021,Junior,Full-time,Machine Learning Developer,100000,USD,100000,Irak,Partially remote,Irak,Small,131
2021,Junior,Full-time,Data Scientist,42000,EUR,49646,Francia,Partially remote,Francia,Medium,132
2021,Intermediate,Full-time,Applied Machine Learning Scientist,38400,USD,38400,Vietnam,Fully remote,Estados Unidos,Medium,133
2021,Senior,Full-time,Computer Vision Engineer,24000,USD,24000,Brasil,Fully remote,Brasil,Medium,134
2021,Junior,Full-time,Data Scientist,100000,USD,100000,Estados Unidos,No remote work,Estados Unidos,Small,135
2021,Intermediate,Full-time,Data Analyst,90000,USD,90000,Estados Unidos,Fully remote,Estados Unidos,Medium,136
2021,Intermediate,Full-time,ML Engineer,7000000,JPY,63711,Japon,Partially remote,Japon,Small,137
2021,Intermediate,Full-time,ML Engineer,8500000,JPY,77364,Japon,Partially remote,Japon,Small,138
2021,Senior,Full-time,Principal Data Scientist,220000,USD,220000,Estados Unidos,No remote work,Estados Unidos,Large,139
2021,Junior,Full-time,Data Scientist,80000,USD,80000,Estados Unidos,Fully remote,Estados Unidos,Medium,140
2021,Intermediate,Full-time,Data Analyst,135000,USD,135000,Estados Unidos,Fully remote,Estados Unidos,Large,141
2021,Senior,Full-time,Data Science Manager,240000,USD,240000,Estados Unidos,No remote work,Estados Unidos,Large,142
2021,Senior,Full-time,Data Engineering Manager,150000,USD,150000,Estados Unidos,No remote work,Estados Unidos,Large,143
2021,Intermediate,Full-time,Data Scientist,82500,USD,82500,Estados Unidos,Fully remote,Estados Unidos,Small,144
2021,Intermediate,Full-time,Data Engineer,100000,USD,100000,Estados Unidos,Fully remote,Estados Unidos,Large,145
2021,Senior,Full-time,Machine Learning Engineer,70000,EUR,82744,Belgica,Partially remote,Belgica,Medium,146
2021,Intermediate,Full-time,Research Scientist,53000,EUR,62649,Francia,Partially remote,Francia,Medium,147
2021,Intermediate,Full-time,Data Engineer,90000,USD,90000,Estados Unidos,Fully remote,Estados Unidos,Large,148
2021,Senior,Full-time,Data Engineering Manager,153000,USD,153000,Estados Unidos,Fully remote,Estados Unidos,Large,149
2021,Senior,Full-time,Cloud Data Engineer,160000,USD,160000,Brasil,Fully remote,Estados Unidos,Small,150
2021,Senior,Full-time,Director of Data Science,168000,USD,168000,Japon,No remote work,Japon,Small,151
2021,Intermediate,Full-time,Data Scientist,150000,USD,150000,Estados Unidos,Fully remote,Estados Unidos,Medium,152
2021,Intermediate,Full-time,Data Scientist,95000,CAD,75774,Canada,Fully remote,Canada,Large,153
2021,Junior,Full-time,Data Scientist,13400,USD,13400,Ucrania,Fully remote,Ucrania,Large,154
2021,Senior,Full-time,Data Science Manager,144000,USD,144000,Estados Unidos,Fully remote,Estados Unidos,Large,155
2021,Senior,Full-time,Data Science Engineer,159500,CAD,127221,Canada,Partially remote,Canada,Large,156
2021,Intermediate,Full-time,Data Scientist,160000,SGD,119059,Singapur,Fully remote,Israel,Medium,157
2021,Intermediate,Full-time,Applied Machine Learning Scientist,423000,USD,423000,Estados Unidos,Partially remote,Estados Unidos,Large,158
2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,Estados Unidos,Fully remote,Estados Unidos,Medium,159
2021,Junior,Full-time,Machine Learning Engineer,125000,USD,125000,Estados Unidos,Fully remote,Estados Unidos,Small,160
2021,Director,Full-time,Head of Data,230000,USD,230000,Rusia,Partially remote,Rusia,Large,161
2021,Director,Full-time,Head of Data Science,85000,USD,85000,Rusia,No remote work,Rusia,Medium,162
2021,Intermediate,Full-time,Data Engineer,24000,EUR,28369,Malta,Partially remote,Malta,Large,163
2021,Junior,Full-time,Data Science Consultant,54000,EUR,63831,Alemania,Partially remote,Alemania,Large,164
2021,Director,Full-time,Director of Data Science,110000,EUR,130026,Alemania,Partially remote,Alemania,Medium,165
2021,Senior,Full-time,Data Specialist,165000,USD,165000,Estados Unidos,Fully remote,Estados Unidos,Large,166
2021,Junior,Full-time,Data Engineer,80000,USD,80000,Estados Unidos,Fully remote,Estados Unidos,Large,167
2021,Director,Full-time,Director of Data Science,250000,USD,250000,Estados Unidos,No remote work,Estados Unidos,Large,168
2021,Junior,Full-time,BI Data Analyst,55000,USD,55000,Estados Unidos,Partially remote,Estados Unidos,Small,169
2021,Intermediate,Full-time,Data Architect,150000,USD,150000,Estados Unidos,Fully remote,Estados Unidos,Large,170
2021,Intermediate,Full-time,Data Architect,170000,USD,170000,Estados Unidos,Fully remote,Estados Unidos,Large,171
2021,Intermediate,Full-time,Data Engineer,60000,GBP,82528,Reino Unido,Fully remote,Reino Unido,Large,172
2021,Junior,Full-time,Data Analyst,60000,USD,60000,Estados Unidos,Fully remote,Estados Unidos,Small,173
2021,Senior,Full-time,Principal Data Scientist,235000,USD,235000,Estados Unidos,Fully remote,Estados Unidos,Large,174
2021,Senior,Full-time,Research Scientist,51400,EUR,60757,Portugal,Partially remote,Portugal,Large,175
2021,Senior,Full-time,Data Engineering Manager,174000,USD,174000,Estados Unidos,Fully remote,Estados Unidos,Large,176
2021,Intermediate,Full-time,Data Scientist,58000,MXN,2859,Mexico,No remote work,Mexico,Small,177
2021,Intermediate,Full-time,Data Scientist,30400000,CLP,40038,Chile,Fully remote,Chile,Large,178
2021,Junior,Full-time,Machine Learning Engineer,81000,USD,81000,Estados Unidos,Partially remote,Estados Unidos,Small,179
2021,Intermediate,Full-time,Data Scientist,420000,INR,5679,India,Fully remote,Estados Unidos,Small,180
2021,Intermediate,Full-time,Big Data Engineer,1672000,INR,22611,India,No remote work,India,Large,181
2021,Intermediate,Full-time,Data Scientist,76760,EUR,90734,Alemania,Partially remote,Alemania,Large,182
2021,Intermediate,Full-time,Data Engineer,22000,EUR,26005,Rumania,No remote work,Estados Unidos,Large,183
2021,Senior,Full-time,Finance Data Analyst,45000,GBP,61896,Reino Unido,Partially remote,Reino Unido,Large,184
2021,Intermediate,Freelance,Machine Learning Scientist,12000,USD,12000,Pakistan,Partially remote,Pakistan,Medium,185
2021,Intermediate,Full-time,Data Engineer,4000,USD,4000,Iran,Fully remote,Iran,Medium,186
2021,Senior,Full-time,Data Analytics Engineer,50000,USD,50000,Vietnam,Fully remote,Reino Unido,Medium,187
2021,Director,Full-time,Data Science Consultant,59000,EUR,69741,Francia,Fully remote,España,Small,188
2021,Senior,Full-time,Data Engineer,65000,EUR,76833,Rumania,Partially remote,Reino Unido,Small,189
2021,Intermediate,Full-time,Machine Learning Engineer,74000,USD,74000,Japon,Partially remote,Japon,Small,190
2021,Senior,Full-time,Data Science Manager,152000,USD,152000,Estados Unidos,Fully remote,Francia,Large,191
2021,Junior,Full-time,Machine Learning Engineer,21844,USD,21844,Colombia,Partially remote,Colombia,Medium,192
2021,Intermediate,Full-time,Big Data Engineer,18000,USD,18000,Moldavia,No remote work,Moldavia,Small,193
2021,Senior,Full-time,Data Science Manager,174000,USD,174000,Estados Unidos,Fully remote,Estados Unidos,Large,194
2021,Senior,Full-time,Research Scientist,120500,CAD,96113,Canada,Partially remote,Canada,Large,195
2021,Intermediate,Full-time,Data Scientist,147000,USD,147000,Estados Unidos,Partially remote,Estados Unidos,Large,196
2021,Junior,Full-time,BI Data Analyst,9272,USD,9272,Kenia,Fully remote,Kenia,Small,197
2021,Senior,Full-time,Machine Learning Engineer,1799997,INR,24342,India,Fully remote,India,Large,198
2021,Senior,Full-time,Data Science Manager,4000000,INR,54094,India,Partially remote,Estados Unidos,Large,199
2021,Junior,Full-time,Data Science Consultant,90000,USD,90000,Estados Unidos,Fully remote,Estados Unidos,Small,200
2021,Intermediate,Full-time,Data Scientist,52000,EUR,61467,Alemania,Partially remote,Austria,Medium,201
2021,Senior,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,Estados Unidos,Fully remote,Estados Unidos,Medium,202
2021,Intermediate,Full-time,Data Scientist,32000,EUR,37825,España,Fully remote,España,Large,203
2021,Senior,Full-time,Research Scientist,50000,USD,50000,Francia,Fully remote,Estados Unidos,Small,204
2021,Intermediate,Full-time,Data Scientist,160000,USD,160000,Estados Unidos,Fully remote,Estados Unidos,Large,205
2021,Intermediate,Full-time,Data Scientist,69600,BRL,12901,Brasil,No remote work,Brasil,Small,206
2021,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,Estados Unidos,Fully remote,Estados Unidos,Large,207
2021,Senior,Full-time,Data Engineer,165000,USD,165000,Estados Unidos,No remote work,Estados Unidos,Medium,208
2021,Intermediate,Freelance,Data Engineer,20000,USD,20000,Italia,No remote work,Estados Unidos,Large,209
2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,Estados Unidos,No remote work,Estados Unidos,Large,210
2021,Intermediate,Full-time,Machine Learning Engineer,21000,EUR,24823,Eslovenia,Partially remote,Eslovenia,Large,211
2021,Intermediate,Full-time,Research Scientist,48000,EUR,56738,Francia,Partially remote,Francia,Small,212
2021,Intermediate,Full-time,Data Engineer,48000,GBP,66022,Hong Kong,Partially remote,Reino Unido,Small,213
2021,Junior,Full-time,Big Data Engineer,435000,INR,5882,India,No remote work,Suiza,Large,214
2021,Junior,Full-time,Machine Learning Engineer,21000,EUR,24823,Alemania,Partially remote,Alemania,Medium,215
2021,Senior,Full-time,Principal Data Engineer,185000,USD,185000,Estados Unidos,Fully remote,Estados Unidos,Large,216
2021,Junior,Part-time,Computer Vision Engineer,180000,DKK,28609,Dinamarca,Partially remote,Dinamarca,Small,217
2021,Intermediate,Full-time,Machine Learning Engineer,75000,EUR,88654,Belgica,Fully remote,Belgica,Medium,218
2021,Senior,Full-time,Data Analytics Manager,140000,USD,140000,Estados Unidos,Fully remote,Estados Unidos,Large,219
2021,Intermediate,Full-time,Machine Learning Engineer,180000,PLN,46597,Polonia,Fully remote,Polonia,Large,220
2021,Intermediate,Full-time,Data Scientist,85000,GBP,116914,Reino Unido,Partially remote,Reino Unido,Large,221
2021,Intermediate,Full-time,Data Scientist,2500000,INR,33808,India,No remote work,India,Medium,222
2021,Intermediate,Full-time,Data Scientist,40900,GBP,56256,Reino Unido,Partially remote,Reino Unido,Large,223
2021,Senior,Full-time,Machine Learning Scientist,225000,USD,225000,Estados Unidos,Fully remote,Canada,Large,224
2021,Director,Contract,Principal Data Scientist,416000,USD,416000,Estados Unidos,Fully remote,Estados Unidos,Small,225
2021,Senior,Full-time,Data Scientist,110000,CAD,87738,Canada,Fully remote,Canada,Small,226
2021,Intermediate,Full-time,Data Scientist,75000,EUR,88654,Alemania,Partially remote,Alemania,Large,227
2021,Senior,Full-time,Data Scientist,135000,USD,135000,Estados Unidos,No remote work,Estados Unidos,Large,228
2021,Senior,Full-time,Data Analyst,90000,CAD,71786,Canada,Fully remote,Canada,Medium,229
2021,Junior,Full-time,Big Data Engineer,1200000,INR,16228,India,Fully remote,India,Large,230
2021,Senior,Full-time,ML Engineer,256000,USD,256000,Estados Unidos,Fully remote,Estados Unidos,Small,231
2021,Senior,Full-time,Director of Data Engineering,200000,USD,200000,Estados Unidos,Fully remote,Estados Unidos,Large,232
2021,Senior,Full-time,Data Analyst,200000,USD,200000,Estados Unidos,Fully remote,Estados Unidos,Large,233
2021,Intermediate,Full-time,Data Architect,180000,USD,180000,Estados Unidos,Fully remote,Estados Unidos,Large,234
2021,Intermediate,Full-time,Head of Data Science,110000,USD,110000,Estados Unidos,No remote work,Estados Unidos,Small,235
2021,Intermediate,Full-time,Research Scientist,80000,CAD,63810,Canada,Fully remote,Canada,Medium,236
2021,Intermediate,Full-time,Data Scientist,39600,EUR,46809,España,Fully remote,España,Medium,237
2021,Junior,Full-time,Data Scientist,4000,USD,4000,Vietnam,No remote work,Vietnam,Medium,238
2021,Junior,Full-time,Data Engineer,1600000,INR,21637,India,Partially remote,India,Medium,239
2021,Senior,Full-time,Data Scientist,130000,CAD,103691,Canada,Fully remote,Canada,Large,240
2021,Intermediate,Full-time,Data Analyst,80000,USD,80000,Estados Unidos,Fully remote,Estados Unidos,Large,241
2021,Intermediate,Full-time,Data Engineer,110000,USD,110000,Estados Unidos,Fully remote,Estados Unidos,Large,242
2021,Senior,Full-time,Data Scientist,165000,USD,165000,Estados Unidos,Fully remote,Estados Unidos,Large,243
2021,Junior,Full-time,AI Scientist,1335000,INR,18053,India,Fully remote,Samoa Americana,Small,244
2021,Intermediate,Full-time,Data Engineer,52500,GBP,72212,Reino Unido,Partially remote,Reino Unido,Large,245
2021,Junior,Full-time,Data Scientist,31000,EUR,36643,Francia,Partially remote,Francia,Large,246
2021,Intermediate,Full-time,Data Engineer,108000,TRY,12103,Turquia,No remote work,Turquia,Medium,247
2021,Senior,Full-time,Data Engineer,70000,GBP,96282,Reino Unido,Partially remote,Reino Unido,Large,248
2021,Senior,Full-time,Principal Data Analyst,170000,USD,170000,Estados Unidos,Fully remote,Estados Unidos,Medium,249
2021,Intermediate,Full-time,Data Scientist,115000,USD,115000,Estados Unidos,Partially remote,Estados Unidos,Large,250
2021,Junior,Full-time,Data Scientist,90000,USD,90000,Estados Unidos,Fully remote,Estados Unidos,Small,251
2021,Director,Full-time,Principal Data Engineer,600000,USD,600000,Estados Unidos,Fully remote,Estados Unidos,Large,252
2021,Junior,Full-time,Data Scientist,2100000,INR,28399,India,Fully remote,India,Medium,253
2021,Intermediate,Full-time,Data Analyst,93000,USD,93000,Estados Unidos,Fully remote,Estados Unidos,Large,254
2021,Senior,Full-time,Big Data Architect,125000,CAD,99703,Canada,Partially remote,Canada,Medium,255
